id,created_date_ad,created_date_bs,purchase_type,pay_type,prefix,separator,fiscal,purchase_no,purchase_no_full,sub_total,total_discount,discount_rate,total_discountable_amount,total_taxable_amount,total_non_taxable_amount,total_tax,grand_total,round_off_amount,bill_no,bill_date_ad,bill_date_bs,chalan_no,due_date_ad,due_date_bs,remarks,app_type_id,created_by_id,device_type_id,discount_scheme_id,fiscal_session_ad_id,fiscal_session_bs_id,ref_purchase_main_id,ref_purchase_order_id,supplier_id
1,2023-04-16 23:29:01.221007+05:45,2080-01-03,PURCHASE,CREDIT,PU,-,79/80,1,PU-79/80-0001,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2023-04-16,2080-01-03,,,,,1,2,2,,13,15,,,1
2,2023-04-17 09:53:58.139433+05:45,2080-01-04,PURCHASE,CREDIT,PU,-,79/80,2,PU-79/80-0002,3973.32,0.00,0.00,3973.32,0.00,3973.32,0.00,3973.00,-0.32,,2023-04-17,2080-01-04,,,,,1,2,2,,13,15,,,1
3,2023-04-19 09:43:02.481446+05:45,2080-01-06,PURCHASE,CREDIT,PU,-,79/80,3,PU-79/80-0003,269513.22,0.00,0.00,269513.22,0.00,269513.22,0.00,269513.00,-0.22,,2023-04-19,2080-01-06,,,,,1,2,2,,13,15,,,1
4,2023-04-19 10:06:47.188911+05:45,2080-01-06,PURCHASE,CREDIT,PU,-,79/80,4,PU-79/80-0004,19517.00,0.00,0.00,19517.00,0.00,19517.00,0.00,19517.00,0.00,,2023-04-19,2080-01-06,,,,,1,2,2,,13,15,,,1
5,2023-04-19 10:09:14.930878+05:45,2080-01-06,PURCHASE,CREDIT,PU,-,79/80,5,PU-79/80-0005,27117.00,0.00,0.00,27117.00,0.00,27117.00,0.00,27117.00,0.00,,2023-04-19,2080-01-06,,,,,1,2,2,,13,15,,,1
6,2023-04-19 10:09:29.522804+05:45,2080-01-06,PURCHASE,CREDIT,PU,-,79/80,6,PU-79/80-0006,27117.00,0.00,0.00,27117.00,0.00,27117.00,0.00,27117.00,0.00,,2023-04-19,2080-01-06,,,,,1,2,2,,13,15,,,1
7,2023-04-19 10:57:12.138095+05:45,2080-01-06,PURCHASE,CREDIT,PU,-,79/80,7,PU-79/80-0007,261687.55,0.00,0.00,261687.55,0.00,261687.55,0.00,261688.00,0.45,,2023-04-19,2080-01-06,,,,,1,2,2,,13,15,,,1
8,2023-04-19 10:58:18.865036+05:45,2080-01-06,PURCHASE,CREDIT,PU,-,79/80,8,PU-79/80-0008,261999.05,0.00,0.00,261999.05,0.00,261999.05,0.00,261999.00,-0.05,,2023-04-19,2080-01-06,,,,,1,2,2,,13,15,,,1
9,2023-04-19 11:54:19.378323+05:45,2080-01-06,PURCHASE,CREDIT,PU,-,79/80,9,PU-79/80-0009,554075.55,0.00,0.00,554075.55,0.00,554075.55,0.00,554076.00,0.45,,2023-04-19,2080-01-06,,,,,1,2,2,,13,15,,,1
10,2023-04-19 16:43:53.365105+05:45,2080-01-06,PURCHASE,CREDIT,PU,-,79/80,10,PU-79/80-0010,76476.76,0.00,0.00,76476.76,0.00,76476.76,0.00,76477.00,0.24,,2023-04-19,2080-01-06,,,,,1,2,2,,13,15,,,1
